old_bitcoin_address,,,btc_amount,usd amount
32JpNLRRpcjc4diLWjDHLpH6kNe3LryfcK,,,,
32KHpU3n7tL1ijz5egj2fHb9ypv3rNb2oS,,,,
32KNdnxfCBDjYTs4dZXe84YHtftuDLh5Jh,,,,
32KS4SZYk4fBA4bmqunhwj4SVY2g7ZjDVb,,,,
32KSmjKtrSfc2sFxJZfNmc58qBQgk98Dkv,,,,
32Kfapf5ZbCiscVEH8KCZoBRKR7qaLH2vd,,,,
32KgBuJ8VrPn2jY1trGa2DFPNs2xpYvnbr,,,,
32KxSXTamfCBXpiaAM3Cc2FzELfFjSxcMn,,,,
32KzgC3gruopKtURU4CKrXpWJtssePMRdy,,,,
32LzdnSj8n1cTsxzjDqhM5vypexYVwCscL,,,,
32MBCMVPCPPV4KQqg9bWngXLEcxLK3BQRE,,,,
32MJmXvZRfDs9dZMx4Q1sAq4ZLsPbcpviL,,,,
32MXuU5eKBGYTcYiUoxq6M5gRN3rAXem4G,,,,
32N1GW7DXDxJWhhcf96KnnhzY8VScpq1vx,,,,
32N2jZRN5gYvGye6vg9XKFStDtE9j35wDt,,,,
32NdiBBNqik14jjdrJvf8Eb43gRiSwQRB1,,,,
32NfjoJyKQboFigeUfHTLmAm3JVZW8sHGi,,,,
32NrTffRCuf6LpcvH8BH9auq9GhVNTCmGo,,,,
32NudSV4N7QcFXaitChRfhNiJXjTfQTVbd,,,,
32NxRqmK7usyyCtFwz4Q3Am1SGvq11Z5VG,,,,
32PCDZ3VhKnxTTdSGddtjiu816iSgXh2jy,,,,
32PPuP91RMbhb16i8EgqnSZ41sSdgHRu6Q,,,,
32PYCLYTeD1W3Xd61d5gp9LP5VsQ9aKo1n,,,,
32PrnK2NxpqWpa1N2tumWrnFVsbWwtn9es,,,,
32Q7qp6514doX8eCJWSc81KZErvCE5t6dP,,,,
32R1q5b2B1KuGkA34eiCzDamNiGCWtqLhV,,,,
32R6v5vjREnZS4FnVQcd6K2HejA4DHLvH1,,,,
32RUv6wtAymT1ztYgj4Q7w2U4x1k8A9DHp,,,,
32Rs14MuxuMLF2dW39hCNWBmjgNA6DxNTu,,,,
32RuSZMHLrHKgV6SdcR31kzic7RSkgabtu,,,,
32RwU6RxxRNUwNU9DWbipEFK4nvUE6PUrQ,,,,
32SqnZ1zj5oPm3G3kw8iMoPkKa4rqDWV4B,,,,
32T1FjWHpntqSPAznyo4GmRqNTMQc36crE,,,,
32T4fKwHLGxKTZ8uCdR8dTZJ8wQv5UW9Wn,,,,
32TBoBSTHW82pFoifJfwqRkPdMvhzTmsTZ,,,,
32Tqg6LqNKWfAsM3yncf8xqpdC2j8eaR4r,,,,
32TyUzQ7jLygSmh5UDvsjXezUidHkmjDh4,,,,
32UE5Zrww12jSSB4MeNcGi9XyQG72EGsCg,,,,
32UwkEDuvfcevf4pBEDwA9Sxsgh1AzDDmq,,,,
32VGKAg6LcNAi331978eKDnFJPNoBkGA4s,,,,
32VuvFQAH9Ye4kYXSgsJmnTweKUAi3r2YR,,,,
32W6e19znLtWtERnc4wmTb85UmeP8oYbu3,,,,
32WTS8Exx3Vg73w8ZcSe51vjFY3SqmPm6e,,,,
32Wc4oEES5BtaAEhSUdYRPVZJFdaAWoZS5,,,,
32WrxpQ4qaoogrWzC8bVz2GKXMEe97xKor,,,,
32WwATV1hvvsmsCTu68QCKavKnrdnMyxcV,,,,
32WwCmjp5mWjcJkD8QnFUCckZqJUJ9TT3q,,,,
32X5cd5iQPbXq8dn8ijMYg2LKLeXEfQkQf,,,,
